Datetime,Temperature
2023-04-22 01:15:11,34.5
2023-04-22 01:20:11,33.6
2023-04-22 01:25:11,34.0
2023-04-22 01:30:11,33.1
2023-04-22 01:35:11,34.0
2023-04-22 01:40:12,32.1
2023-04-22 01:45:12,33.6
2023-04-22 01:50:12,33.1
2023-04-22 01:55:12,33.6
2023-04-22 02:00:12,32.6
2023-04-22 02:05:12,32.1
2023-04-22 02:10:12,32.6
2023-04-22 02:15:12,33.6
2023-04-22 02:20:12,33.1
2023-04-22 02:25:12,33.6
2023-04-22 02:30:12,33.6
2023-04-22 02:35:12,33.1
2023-04-22 02:40:12,32.6
2023-04-22 02:45:12,33.1
2023-04-22 02:50:12,33.6
2023-04-22 02:55:12,32.6
2023-04-22 03:00:12,32.6
2023-04-22 03:05:12,32.1
2023-04-22 03:10:12,32.6
2023-04-22 03:15:12,34.0
2023-04-22 03:20:12,32.6
2023-04-22 03:25:12,33.1
2023-04-22 03:30:12,33.6
2023-04-22 03:35:12,32.6
2023-04-22 03:40:12,33.1
2023-04-22 03:45:12,32.6
2023-04-22 03:50:12,33.1
2023-04-22 03:55:12,34.0
2023-04-22 04:00:12,33.6
2023-04-22 04:05:12,33.6
2023-04-22 04:10:12,32.1
2023-04-22 04:15:12,33.1
2023-04-22 04:20:12,33.1
2023-04-22 04:25:12,33.1
2023-04-22 04:30:13,33.1
2023-04-22 04:35:13,33.6
2023-04-22 04:40:13,33.1
2023-04-22 04:45:13,33.6
2023-04-22 04:50:13,32.6
2023-04-22 04:55:13,33.1
2023-04-22 05:00:13,32.6
2023-04-22 05:05:13,32.6
2023-04-22 05:10:13,32.6
2023-04-22 05:15:13,32.6
2023-04-22 05:20:13,32.6
2023-04-22 05:25:13,33.1
2023-04-22 05:30:13,33.1
2023-04-22 05:35:13,32.1
2023-04-22 05:40:13,33.6
2023-04-22 05:45:13,33.1
2023-04-22 05:50:13,33.6
2023-04-22 05:55:13,32.1
2023-04-22 06:00:13,33.1
2023-04-22 06:05:13,33.1
2023-04-22 06:10:13,33.1
2023-04-22 06:15:13,33.1
2023-04-22 06:20:13,32.6
2023-04-22 06:25:13,33.1
2023-04-22 06:30:13,34.0
2023-04-22 06:35:13,32.1
2023-04-22 06:40:13,33.6
2023-04-22 06:45:13,33.1
2023-04-22 06:50:13,33.1
2023-04-22 06:55:13,32.1
2023-04-22 07:00:13,32.1
2023-04-22 07:05:13,32.6
2023-04-22 07:10:13,32.1
2023-04-22 07:15:13,32.6
2023-04-22 07:20:14,33.6
2023-04-22 07:25:14,32.6
2023-04-22 07:30:14,33.6
2023-04-22 07:35:14,33.1
2023-04-22 07:40:14,32.6
2023-04-22 07:45:14,33.1
2023-04-22 07:50:14,31.1
2023-04-22 07:55:14,32.1
2023-04-22 08:00:14,33.1
2023-04-22 08:05:14,32.1
2023-04-22 08:10:14,32.6
2023-04-22 08:15:14,32.1
